"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 15:01:23 GMT 2021","Fri Aug 13 15:01:35 GMT 2021","11864","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 15:00:59 GMT 2021","Fri Aug 13 15:01:11 GMT 2021","11899","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 15:00:18 GMT 2021","Fri Aug 13 15:00:31 GMT 2021","12748","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 15:01:35 GMT 2021","Fri Aug 13 15:01:37 GMT 2021","1710","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 15:00:34 GMT 2021","Fri Aug 13 15:00:36 GMT 2021","1810","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 15:00:36 GMT 2021","Fri Aug 13 15:00:48 GMT 2021","11843","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 15:01:12 GMT 2021","Fri Aug 13 15:01:23 GMT 2021","11856","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 15:00:31 GMT 2021","Fri Aug 13 15:00:34 GMT 2021","2547","test_conduit","test_conduit","","","","test_login",""
"passed","Fri Aug 13 15:00:14 GMT 2021","Fri Aug 13 15:00:18 GMT 2021","4606","test_conduit","test_conduit","","","","test_registration",""
"passed","Fri Aug 13 15:00:04 GMT 2021","Fri Aug 13 15:00:14 GMT 2021","9618","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 15:00:48 GMT 2021","Fri Aug 13 15:00:59 GMT 2021","11876","test_conduit","test_conduit","","","","test_new_data",""
