"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 17:20:10 GMT 2021","Fri Aug 13 17:20:12 GMT 2021","1893","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 17:19:02 GMT 2021","Fri Aug 13 17:19:05 GMT 2021","2680","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 17:18:58 GMT 2021","Fri Aug 13 17:19:02 GMT 2021","3892","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 17:19:23 GMT 2021","Fri Aug 13 17:19:34 GMT 2021","11141","test_conduit","test_conduit","","","","test_new_data",""
"passed","Fri Aug 13 17:18:54 GMT 2021","Fri Aug 13 17:18:58 GMT 2021","4162","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 17:19:08 GMT 2021","Fri Aug 13 17:19:10 GMT 2021","2005","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 17:19:05 GMT 2021","Fri Aug 13 17:19:08 GMT 2021","2801","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 17:19:58 GMT 2021","Fri Aug 13 17:20:10 GMT 2021","12090","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 17:19:34 GMT 2021","Fri Aug 13 17:19:46 GMT 2021","12125","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 17:19:10 GMT 2021","Fri Aug 13 17:19:22 GMT 2021","12470","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 17:19:46 GMT 2021","Fri Aug 13 17:19:58 GMT 2021","12114","test_conduit","test_conduit","","","","test_data_change",""
