"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 18:17:47 GMT 2021","Fri Aug 13 18:17:50 GMT 2021","2767","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 18:17:50 GMT 2021","Fri Aug 13 18:17:52 GMT 2021","2706","test_conduit","test_conduit","","","","test_new_data",""
"passed","Fri Aug 13 18:17:38 GMT 2021","Fri Aug 13 18:17:42 GMT 2021","3614","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 18:17:45 GMT 2021","Fri Aug 13 18:17:47 GMT 2021","1971","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 18:18:05 GMT 2021","Fri Aug 13 18:18:17 GMT 2021","12024","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 18:17:30 GMT 2021","Fri Aug 13 18:17:33 GMT 2021","3934","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 18:18:17 GMT 2021","Fri Aug 13 18:18:29 GMT 2021","12015","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 18:17:33 GMT 2021","Fri Aug 13 18:17:38 GMT 2021","4993","test_conduit","test_conduit","","","","test_registration",""
"passed","Fri Aug 13 18:17:42 GMT 2021","Fri Aug 13 18:17:45 GMT 2021","2690","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 18:17:53 GMT 2021","Fri Aug 13 18:18:05 GMT 2021","12001","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 18:18:29 GMT 2021","Fri Aug 13 18:18:30 GMT 2021","861","test_conduit","test_conduit","","","","test_data_save",""
