"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 14:11:05 GMT 2021","Fri Aug 13 14:11:19 GMT 2021","13177","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 14:10:52 GMT 2021","Fri Aug 13 14:11:05 GMT 2021","13156","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 14:10:36 GMT 2021","Fri Aug 13 14:10:39 GMT 2021","2857","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 14:10:16 GMT 2021","Fri Aug 13 14:10:25 GMT 2021","9047","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 14:10:25 GMT 2021","Fri Aug 13 14:10:30 GMT 2021","5284","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 14:11:19 GMT 2021","Fri Aug 13 14:11:32 GMT 2021","13206","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 14:11:32 GMT 2021","Fri Aug 13 14:11:45 GMT 2021","13140","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 14:10:30 GMT 2021","Fri Aug 13 14:10:33 GMT 2021","3181","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 14:10:39 GMT 2021","Fri Aug 13 14:10:52 GMT 2021","13142","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 14:10:33 GMT 2021","Fri Aug 13 14:10:36 GMT 2021","2844","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 14:11:45 GMT 2021","Fri Aug 13 14:11:48 GMT 2021","2955","test_conduit","test_conduit","","","","test_data_save",""
