"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 14:53:31 GMT 2021","Fri Aug 13 14:53:43 GMT 2021","11932","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 14:53:43 GMT 2021","Fri Aug 13 14:53:55 GMT 2021","11903","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 14:52:38 GMT 2021","Fri Aug 13 14:52:42 GMT 2021","3851","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 14:53:19 GMT 2021","Fri Aug 13 14:53:31 GMT 2021","11958","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 14:53:55 GMT 2021","Fri Aug 13 14:53:57 GMT 2021","1731","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 14:52:50 GMT 2021","Fri Aug 13 14:52:53 GMT 2021","2718","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 14:53:07 GMT 2021","Fri Aug 13 14:53:19 GMT 2021","11912","test_conduit","test_conduit","","","","test_new_data",""
"passed","Fri Aug 13 14:52:53 GMT 2021","Fri Aug 13 14:52:55 GMT 2021","1845","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 14:52:42 GMT 2021","Fri Aug 13 14:52:47 GMT 2021","4500","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 14:52:55 GMT 2021","Fri Aug 13 14:53:07 GMT 2021","11907","test_conduit","test_conduit","","","","test_pagination",""
"passed","Fri Aug 13 14:52:47 GMT 2021","Fri Aug 13 14:52:50 GMT 2021","3476","test_conduit","test_conduit","","","","test_logout",""
