"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 17:53:36 GMT 2021","Fri Aug 13 17:53:48 GMT 2021","11868","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 17:53:48 GMT 2021","Fri Aug 13 17:54:00 GMT 2021","11892","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 17:53:15 GMT 2021","Fri Aug 13 17:53:18 GMT 2021","3280","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 17:54:12 GMT 2021","Fri Aug 13 17:54:14 GMT 2021","1748","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 17:53:07 GMT 2021","Fri Aug 13 17:53:11 GMT 2021","4594","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 17:53:11 GMT 2021","Fri Aug 13 17:53:15 GMT 2021","3255","test_conduit","test_conduit","","","","test_registration",""
"passed","Fri Aug 13 17:53:18 GMT 2021","Fri Aug 13 17:53:20 GMT 2021","2442","test_conduit","test_conduit","","","","test_login",""
"passed","Fri Aug 13 17:53:20 GMT 2021","Fri Aug 13 17:53:22 GMT 2021","1763","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 17:53:24 GMT 2021","Fri Aug 13 17:53:36 GMT 2021","11889","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 17:53:22 GMT 2021","Fri Aug 13 17:53:24 GMT 2021","1978","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 17:54:00 GMT 2021","Fri Aug 13 17:54:12 GMT 2021","11872","test_conduit","test_conduit","","","","test_del_data",""
