"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 17:02:20 GMT 2021","Fri Aug 13 17:02:22 GMT 2021","1797","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 17:01:56 GMT 2021","Fri Aug 13 17:02:08 GMT 2021","11982","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 17:02:08 GMT 2021","Fri Aug 13 17:02:20 GMT 2021","11941","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 17:00:55 GMT 2021","Fri Aug 13 17:01:07 GMT 2021","11427","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 17:01:15 GMT 2021","Fri Aug 13 17:01:18 GMT 2021","2624","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 17:01:32 GMT 2021","Fri Aug 13 17:01:44 GMT 2021","11997","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 17:01:44 GMT 2021","Fri Aug 13 17:01:56 GMT 2021","11952","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 17:01:20 GMT 2021","Fri Aug 13 17:01:32 GMT 2021","12066","test_conduit","test_conduit","","","","test_pagination",""
"passed","Fri Aug 13 17:01:12 GMT 2021","Fri Aug 13 17:01:15 GMT 2021","3623","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 17:01:18 GMT 2021","Fri Aug 13 17:01:20 GMT 2021","1895","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 17:01:07 GMT 2021","Fri Aug 13 17:01:12 GMT 2021","5040","test_conduit","test_conduit","","","","test_registration",""
