"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 16:53:30 GMT 2021","Fri Aug 13 16:53:42 GMT 2021","12036","test_conduit","test_conduit","","","","test_data_from_file",""
"passed","Fri Aug 13 16:52:51 GMT 2021","Fri Aug 13 16:52:56 GMT 2021","5556","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 16:53:54 GMT 2021","Fri Aug 13 16:54:06 GMT 2021","11991","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 16:54:06 GMT 2021","Fri Aug 13 16:54:08 GMT 2021","1804","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 16:53:18 GMT 2021","Fri Aug 13 16:53:30 GMT 2021","12025","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 16:53:42 GMT 2021","Fri Aug 13 16:53:54 GMT 2021","12002","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 16:53:05 GMT 2021","Fri Aug 13 16:53:18 GMT 2021","13056","test_conduit","test_conduit","","","","test_pagination",""
"passed","Fri Aug 13 16:53:00 GMT 2021","Fri Aug 13 16:53:03 GMT 2021","2691","test_conduit","test_conduit","","","","test_login",""
"passed","Fri Aug 13 16:53:03 GMT 2021","Fri Aug 13 16:53:05 GMT 2021","1940","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 16:52:34 GMT 2021","Fri Aug 13 16:52:51 GMT 2021","17101","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 16:52:56 GMT 2021","Fri Aug 13 16:53:00 GMT 2021","3605","test_conduit","test_conduit","","","","test_logout",""
