"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 16:18:10 GMT 2021","Fri Aug 13 16:18:22 GMT 2021","11850","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 16:17:16 GMT 2021","Fri Aug 13 16:17:19 GMT 2021","3196","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 16:17:04 GMT 2021","Fri Aug 13 16:17:11 GMT 2021","7013","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 16:17:35 GMT 2021","Fri Aug 13 16:17:46 GMT 2021","10845","test_conduit","test_conduit","","","","test_new_data",""
"passed","Fri Aug 13 16:17:11 GMT 2021","Fri Aug 13 16:17:16 GMT 2021","4531","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 16:17:23 GMT 2021","Fri Aug 13 16:17:35 GMT 2021","11950","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 16:18:22 GMT 2021","Fri Aug 13 16:18:24 GMT 2021","1667","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 16:17:58 GMT 2021","Fri Aug 13 16:18:10 GMT 2021","11868","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 16:17:19 GMT 2021","Fri Aug 13 16:17:21 GMT 2021","2419","test_conduit","test_conduit","","","","test_login",""
"passed","Fri Aug 13 16:17:21 GMT 2021","Fri Aug 13 16:17:23 GMT 2021","1737","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 16:17:46 GMT 2021","Fri Aug 13 16:17:58 GMT 2021","11854","test_conduit","test_conduit","","","","test_data_from_file",""
