"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 14:43:50 GMT 2021","Fri Aug 13 14:44:02 GMT 2021","11932","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 14:43:27 GMT 2021","Fri Aug 13 14:43:38 GMT 2021","10986","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 14:44:14 GMT 2021","Fri Aug 13 14:44:16 GMT 2021","1826","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 14:43:38 GMT 2021","Fri Aug 13 14:43:50 GMT 2021","11962","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 14:43:15 GMT 2021","Fri Aug 13 14:43:27 GMT 2021","11931","test_conduit","test_conduit","","","","test_pagination",""
"passed","Fri Aug 13 14:42:44 GMT 2021","Fri Aug 13 14:42:54 GMT 2021","9784","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 14:43:13 GMT 2021","Fri Aug 13 14:43:15 GMT 2021","1891","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 14:43:09 GMT 2021","Fri Aug 13 14:43:13 GMT 2021","4043","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 14:44:02 GMT 2021","Fri Aug 13 14:44:14 GMT 2021","11990","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 14:42:54 GMT 2021","Fri Aug 13 14:42:57 GMT 2021","3488","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 14:42:57 GMT 2021","Fri Aug 13 14:43:09 GMT 2021","11983","test_conduit","test_conduit","","","","test_logout",""
