"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 18:08:29 GMT 2021","Fri Aug 13 18:08:34 GMT 2021","4721","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 18:08:41 GMT 2021","Fri Aug 13 18:08:45 GMT 2021","3920","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 18:08:45 GMT 2021","Fri Aug 13 18:08:58 GMT 2021","13014","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 18:09:35 GMT 2021","Fri Aug 13 18:09:36 GMT 2021","1858","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 18:08:39 GMT 2021","Fri Aug 13 18:08:41 GMT 2021","1965","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 18:08:34 GMT 2021","Fri Aug 13 18:08:36 GMT 2021","2649","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 18:09:10 GMT 2021","Fri Aug 13 18:09:22 GMT 2021","12040","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 18:08:58 GMT 2021","Fri Aug 13 18:09:10 GMT 2021","12056","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 18:09:22 GMT 2021","Fri Aug 13 18:09:35 GMT 2021","12051","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 18:08:25 GMT 2021","Fri Aug 13 18:08:29 GMT 2021","3917","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 18:08:36 GMT 2021","Fri Aug 13 18:08:39 GMT 2021","2766","test_conduit","test_conduit","","","","test_login",""
