"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 15:30:21 GMT 2021","Fri Aug 13 15:30:33 GMT 2021","12545","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 15:31:54 GMT 2021","Fri Aug 13 15:31:56 GMT 2021","1790","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 15:31:42 GMT 2021","Fri Aug 13 15:31:54 GMT 2021","12009","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 15:31:07 GMT 2021","Fri Aug 13 15:31:18 GMT 2021","10976","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 15:31:18 GMT 2021","Fri Aug 13 15:31:30 GMT 2021","11970","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 15:30:38 GMT 2021","Fri Aug 13 15:30:51 GMT 2021","13382","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 15:31:30 GMT 2021","Fri Aug 13 15:31:42 GMT 2021","11973","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 15:30:53 GMT 2021","Fri Aug 13 15:30:55 GMT 2021","1876","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 15:30:55 GMT 2021","Fri Aug 13 15:31:07 GMT 2021","11985","test_conduit","test_conduit","","","","test_pagination",""
"passed","Fri Aug 13 15:30:33 GMT 2021","Fri Aug 13 15:30:38 GMT 2021","4666","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 15:30:51 GMT 2021","Fri Aug 13 15:30:53 GMT 2021","1767","test_conduit","test_conduit","","","","test_login",""
