"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 18:58:52 GMT 2021","Fri Aug 13 18:59:06 GMT 2021","13671","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 18:58:40 GMT 2021","Fri Aug 13 18:58:47 GMT 2021","7554","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 18:59:09 GMT 2021","Fri Aug 13 18:59:11 GMT 2021","2068","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 18:59:06 GMT 2021","Fri Aug 13 18:59:09 GMT 2021","2847","test_conduit","test_conduit","","","","test_login",""
"passed","Fri Aug 13 18:59:15 GMT 2021","Fri Aug 13 18:59:19 GMT 2021","4123","test_conduit","test_conduit","","","","test_new_data",""
"passed","Fri Aug 13 18:58:47 GMT 2021","Fri Aug 13 18:58:52 GMT 2021","5070","test_conduit","test_conduit","","","","test_registration",""
"passed","Fri Aug 13 18:59:24 GMT 2021","Fri Aug 13 18:59:29 GMT 2021","5089","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 18:59:11 GMT 2021","Fri Aug 13 18:59:15 GMT 2021","3771","test_conduit","test_conduit","","","","test_pagination",""
"passed","Fri Aug 13 18:59:19 GMT 2021","Fri Aug 13 18:59:24 GMT 2021","5034","test_conduit","test_conduit","","","","test_data_from_file",""
"passed","Fri Aug 13 18:59:29 GMT 2021","Fri Aug 13 18:59:35 GMT 2021","6256","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 18:59:35 GMT 2021","Fri Aug 13 18:59:39 GMT 2021","3768","test_conduit","test_conduit","","","","test_data_save",""
