"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 16:41:08 GMT 2021","Fri Aug 13 16:41:13 GMT 2021","4506","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 16:41:57 GMT 2021","Fri Aug 13 16:42:09 GMT 2021","11922","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 16:42:21 GMT 2021","Fri Aug 13 16:42:23 GMT 2021","1760","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 16:41:04 GMT 2021","Fri Aug 13 16:41:08 GMT 2021","4061","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 16:41:33 GMT 2021","Fri Aug 13 16:41:45 GMT 2021","11900","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 16:41:20 GMT 2021","Fri Aug 13 16:41:33 GMT 2021","12846","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 16:42:09 GMT 2021","Fri Aug 13 16:42:21 GMT 2021","11894","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 16:41:16 GMT 2021","Fri Aug 13 16:41:19 GMT 2021","2551","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 16:41:45 GMT 2021","Fri Aug 13 16:41:57 GMT 2021","11890","test_conduit","test_conduit","","","","test_data_from_file",""
"passed","Fri Aug 13 16:41:13 GMT 2021","Fri Aug 13 16:41:16 GMT 2021","3398","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 16:41:19 GMT 2021","Fri Aug 13 16:41:20 GMT 2021","1809","test_conduit","test_conduit","","","","test_data_list",""
