"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 16:03:41 GMT 2021","Fri Aug 13 16:03:50 GMT 2021","9512","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 16:04:52 GMT 2021","Fri Aug 13 16:05:04 GMT 2021","12164","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 16:03:50 GMT 2021","Fri Aug 13 16:03:55 GMT 2021","5325","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 16:04:16 GMT 2021","Fri Aug 13 16:04:28 GMT 2021","12189","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 16:04:40 GMT 2021","Fri Aug 13 16:04:52 GMT 2021","12172","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 16:04:00 GMT 2021","Fri Aug 13 16:04:13 GMT 2021","13215","test_conduit","test_conduit","","","","test_login",""
"passed","Fri Aug 13 16:03:55 GMT 2021","Fri Aug 13 16:04:00 GMT 2021","4751","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 16:04:13 GMT 2021","Fri Aug 13 16:04:16 GMT 2021","2071","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 16:05:17 GMT 2021","Fri Aug 13 16:05:19 GMT 2021","1977","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 16:05:05 GMT 2021","Fri Aug 13 16:05:17 GMT 2021","12154","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 16:04:28 GMT 2021","Fri Aug 13 16:04:40 GMT 2021","12167","test_conduit","test_conduit","","","","test_new_data",""
