"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 18:01:06 GMT 2021","Fri Aug 13 18:01:09 GMT 2021","2697","test_conduit","test_conduit","","","","test_login",""
"passed","Fri Aug 13 18:00:53 GMT 2021","Fri Aug 13 18:00:57 GMT 2021","3984","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 18:01:37 GMT 2021","Fri Aug 13 18:01:49 GMT 2021","12063","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 18:01:13 GMT 2021","Fri Aug 13 18:01:25 GMT 2021","12066","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 18:01:25 GMT 2021","Fri Aug 13 18:01:37 GMT 2021","12080","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 18:02:02 GMT 2021","Fri Aug 13 18:02:03 GMT 2021","1876","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 18:01:02 GMT 2021","Fri Aug 13 18:01:06 GMT 2021","3730","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 18:01:11 GMT 2021","Fri Aug 13 18:01:13 GMT 2021","2177","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 18:01:49 GMT 2021","Fri Aug 13 18:02:01 GMT 2021","12097","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 18:01:09 GMT 2021","Fri Aug 13 18:01:11 GMT 2021","1998","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 18:00:57 GMT 2021","Fri Aug 13 18:01:02 GMT 2021","5102","test_conduit","test_conduit","","","","test_registration",""
