"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 17:07:29 GMT 2021","Fri Aug 13 17:07:32 GMT 2021","2734","test_conduit","test_conduit","","","","test_login",""
"passed","Fri Aug 13 17:07:12 GMT 2021","Fri Aug 13 17:07:22 GMT 2021","9621","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 17:08:11 GMT 2021","Fri Aug 13 17:08:23 GMT 2021","11983","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 17:07:59 GMT 2021","Fri Aug 13 17:08:11 GMT 2021","11990","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 17:07:47 GMT 2021","Fri Aug 13 17:07:59 GMT 2021","12004","test_conduit","test_conduit","","","","test_new_data",""
"passed","Fri Aug 13 17:07:22 GMT 2021","Fri Aug 13 17:07:26 GMT 2021","4809","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 17:08:35 GMT 2021","Fri Aug 13 17:08:37 GMT 2021","1835","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 17:07:26 GMT 2021","Fri Aug 13 17:07:29 GMT 2021","2525","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 17:07:34 GMT 2021","Fri Aug 13 17:07:47 GMT 2021","13006","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 17:07:32 GMT 2021","Fri Aug 13 17:07:34 GMT 2021","1963","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 17:08:23 GMT 2021","Fri Aug 13 17:08:35 GMT 2021","11997","test_conduit","test_conduit","","","","test_del_data",""
