"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 14:29:11 GMT 2021","Fri Aug 13 14:29:13 GMT 2021","1907","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 14:28:22 GMT 2021","Fri Aug 13 14:28:34 GMT 2021","12075","test_conduit","test_conduit","","","","test_new_data",""
"passed","Fri Aug 13 14:28:08 GMT 2021","Fri Aug 13 14:28:10 GMT 2021","2000","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 14:28:58 GMT 2021","Fri Aug 13 14:29:10 GMT 2021","12084","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 14:28:02 GMT 2021","Fri Aug 13 14:28:04 GMT 2021","1851","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 14:28:46 GMT 2021","Fri Aug 13 14:28:58 GMT 2021","12074","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 14:27:57 GMT 2021","Fri Aug 13 14:28:02 GMT 2021","5109","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 14:28:34 GMT 2021","Fri Aug 13 14:28:46 GMT 2021","12084","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 14:28:04 GMT 2021","Fri Aug 13 14:28:08 GMT 2021","3413","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 14:27:51 GMT 2021","Fri Aug 13 14:27:57 GMT 2021","6591","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 14:28:10 GMT 2021","Fri Aug 13 14:28:22 GMT 2021","12093","test_conduit","test_conduit","","","","test_pagination",""
