"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 16:47:20 GMT 2021","Fri Aug 13 16:47:32 GMT 2021","11983","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 16:47:45 GMT 2021","Fri Aug 13 16:47:45 GMT 2021","768","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 16:46:23 GMT 2021","Fri Aug 13 16:46:40 GMT 2021","16253","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 16:46:49 GMT 2021","Fri Aug 13 16:46:52 GMT 2021","2643","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 16:47:32 GMT 2021","Fri Aug 13 16:47:44 GMT 2021","11992","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 16:46:57 GMT 2021","Fri Aug 13 16:47:08 GMT 2021","11928","test_conduit","test_conduit","","","","test_new_data",""
"passed","Fri Aug 13 16:46:45 GMT 2021","Fri Aug 13 16:46:49 GMT 2021","3543","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 16:46:54 GMT 2021","Fri Aug 13 16:46:56 GMT 2021","2720","test_conduit","test_conduit","","","","test_pagination",""
"passed","Fri Aug 13 16:46:52 GMT 2021","Fri Aug 13 16:46:54 GMT 2021","1860","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 16:47:08 GMT 2021","Fri Aug 13 16:47:20 GMT 2021","12002","test_conduit","test_conduit","","","","test_data_from_file",""
"passed","Fri Aug 13 16:46:40 GMT 2021","Fri Aug 13 16:46:45 GMT 2021","5927","test_conduit","test_conduit","","","","test_registration",""
