"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 15:39:47 GMT 2021","Fri Aug 13 15:39:49 GMT 2021","1793","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 15:39:11 GMT 2021","Fri Aug 13 15:39:23 GMT 2021","12001","test_conduit","test_conduit","","","","test_data_from_file",""
"passed","Fri Aug 13 15:38:45 GMT 2021","Fri Aug 13 15:38:47 GMT 2021","1876","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 15:38:40 GMT 2021","Fri Aug 13 15:38:43 GMT 2021","3590","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 15:38:34 GMT 2021","Fri Aug 13 15:38:40 GMT 2021","5533","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 15:39:35 GMT 2021","Fri Aug 13 15:39:47 GMT 2021","12011","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 15:38:24 GMT 2021","Fri Aug 13 15:38:34 GMT 2021","10080","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 15:38:43 GMT 2021","Fri Aug 13 15:38:45 GMT 2021","1766","test_conduit","test_conduit","","","","test_login",""
"broken","Fri Aug 13 15:38:47 GMT 2021","Fri Aug 13 15:38:59 GMT 2021","12007","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 15:39:23 GMT 2021","Fri Aug 13 15:39:35 GMT 2021","12018","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 15:38:59 GMT 2021","Fri Aug 13 15:39:11 GMT 2021","12014","test_conduit","test_conduit","","","","test_new_data",""
