"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 15:11:57 GMT 2021","Fri Aug 13 15:12:10 GMT 2021","12036","test_conduit","test_conduit","","","","test_data_from_file",""
"passed","Fri Aug 13 15:11:27 GMT 2021","Fri Aug 13 15:11:31 GMT 2021","4353","test_conduit","test_conduit","","","","test_login",""
"passed","Fri Aug 13 15:11:31 GMT 2021","Fri Aug 13 15:11:33 GMT 2021","1935","test_conduit","test_conduit","","","","test_data_list",""
"passed","Fri Aug 13 15:11:10 GMT 2021","Fri Aug 13 15:11:15 GMT 2021","4510","test_conduit","test_conduit","","","","test_registration",""
"passed","Fri Aug 13 15:11:06 GMT 2021","Fri Aug 13 15:11:10 GMT 2021","4193","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 15:12:34 GMT 2021","Fri Aug 13 15:12:36 GMT 2021","1848","test_conduit","test_conduit","","","","test_data_save",""
"broken","Fri Aug 13 15:11:33 GMT 2021","Fri Aug 13 15:11:45 GMT 2021","12025","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 15:12:10 GMT 2021","Fri Aug 13 15:12:22 GMT 2021","12044","test_conduit","test_conduit","","","","test_data_change",""
"broken","Fri Aug 13 15:12:22 GMT 2021","Fri Aug 13 15:12:34 GMT 2021","12055","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 15:11:45 GMT 2021","Fri Aug 13 15:11:57 GMT 2021","12038","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 15:11:15 GMT 2021","Fri Aug 13 15:11:27 GMT 2021","12015","test_conduit","test_conduit","","","","test_logout",""
