"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 20:08:16 GMT 2021","Sun Aug 22 20:08:21 GMT 2021","5000","test_conduit","test_conduit","","","","test_registration",""
"passed","Sun Aug 22 20:08:33 GMT 2021","Sun Aug 22 20:08:37 GMT 2021","4396","test_conduit","test_conduit","","","","test_new_data",""
"passed","Sun Aug 22 20:08:41 GMT 2021","Sun Aug 22 20:08:46 GMT 2021","4680","test_conduit","test_conduit","","","","test_data_change",""
"passed","Sun Aug 22 20:08:37 GMT 2021","Sun Aug 22 20:08:41 GMT 2021","4306","test_conduit","test_conduit","","","","test_data_from_file",""
"passed","Sun Aug 22 20:08:53 GMT 2021","Sun Aug 22 20:08:56 GMT 2021","3273","test_conduit","test_conduit","","","","test_data_save",""
"passed","Sun Aug 22 20:08:25 GMT 2021","Sun Aug 22 20:08:27 GMT 2021","2665","test_conduit","test_conduit","","","","test_login",""
"passed","Sun Aug 22 20:08:21 GMT 2021","Sun Aug 22 20:08:25 GMT 2021","3573","test_conduit","test_conduit","","","","test_logout",""
"passed","Sun Aug 22 20:08:12 GMT 2021","Sun Aug 22 20:08:16 GMT 2021","3840","test_conduit","test_conduit","","","","test_cookie",""
"broken","Sun Aug 22 20:08:46 GMT 2021","Sun Aug 22 20:08:51 GMT 2021","5550","test_conduit","test_conduit","","","","test_del_data",""
"passed","Sun Aug 22 20:08:29 GMT 2021","Sun Aug 22 20:08:33 GMT 2021","3387","test_conduit","test_conduit","","","","test_pagination",""
"passed","Sun Aug 22 20:08:27 GMT 2021","Sun Aug 22 20:08:29 GMT 2021","1923","test_conduit","test_conduit","","","","test_data_list",""
