"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 15:57:14 GMT 2021","Fri Aug 13 15:57:26 GMT 2021","12115","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 15:58:02 GMT 2021","Fri Aug 13 15:58:14 GMT 2021","12093","test_conduit","test_conduit","","","","test_del_data",""
"passed","Fri Aug 13 15:56:49 GMT 2021","Fri Aug 13 15:56:54 GMT 2021","5104","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 15:57:38 GMT 2021","Fri Aug 13 15:57:50 GMT 2021","12139","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 15:57:50 GMT 2021","Fri Aug 13 15:58:02 GMT 2021","12133","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 15:57:12 GMT 2021","Fri Aug 13 15:57:14 GMT 2021","2003","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 15:57:26 GMT 2021","Fri Aug 13 15:57:38 GMT 2021","12119","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 15:58:14 GMT 2021","Fri Aug 13 15:58:16 GMT 2021","1890","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 15:56:54 GMT 2021","Fri Aug 13 15:56:58 GMT 2021","3905","test_conduit","test_conduit","","","","test_logout",""
"passed","Fri Aug 13 15:56:45 GMT 2021","Fri Aug 13 15:56:49 GMT 2021","4046","test_conduit","test_conduit","","","","test_cookie",""
"broken","Fri Aug 13 15:56:58 GMT 2021","Fri Aug 13 15:57:11 GMT 2021","13084","test_conduit","test_conduit","","","","test_login",""
