"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 17:13:14 GMT 2021","Fri Aug 13 17:13:16 GMT 2021","2063","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 17:13:16 GMT 2021","Fri Aug 13 17:13:28 GMT 2021","12119","test_conduit","test_conduit","","","","test_pagination",""
"broken","Fri Aug 13 17:13:28 GMT 2021","Fri Aug 13 17:13:39 GMT 2021","11100","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 17:14:03 GMT 2021","Fri Aug 13 17:14:15 GMT 2021","12077","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 17:14:15 GMT 2021","Fri Aug 13 17:14:17 GMT 2021","1894","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 17:12:51 GMT 2021","Fri Aug 13 17:13:01 GMT 2021","10582","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 17:13:07 GMT 2021","Fri Aug 13 17:13:11 GMT 2021","4026","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 17:13:39 GMT 2021","Fri Aug 13 17:13:51 GMT 2021","12061","test_conduit","test_conduit","","","","test_data_from_file",""
"passed","Fri Aug 13 17:13:01 GMT 2021","Fri Aug 13 17:13:07 GMT 2021","5414","test_conduit","test_conduit","","","","test_registration",""
"broken","Fri Aug 13 17:13:51 GMT 2021","Fri Aug 13 17:14:03 GMT 2021","12057","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 17:13:11 GMT 2021","Fri Aug 13 17:13:14 GMT 2021","2744","test_conduit","test_conduit","","","","test_login",""
